Customer_ID,Churn,Usage
C070001,0,public
C070002,0,private
C070003,1,private
C070004,1,public
C070005,0,private
C070006,0,private
C070007,0,public
C070008,1,private
C070009,0,private
C070010,0,private
C070011,1,private
C070012,1,private
C070013,1,public
C070014,1,private
C070015,0,public
C070016,1,private
C070017,0,private
C070018,0,private
C070019,0,private
C070020,1,private
C070021,0,public
C070022,0,public
C070023,0,public
C070024,1,private
C070025,0,public
C070026,1,private
C070027,0,public
C070028,0,public
C070029,0,private
C070030,1,private
C070031,0,private
C070032,1,private
C070033,0,private
C070034,0,private
C070035,0,public
C070036,0,private
C070037,1,private
C070038,1,private
C070039,1,public
C070040,0,private
C070041,0,private
C070042,0,private
C070043,0,public
C070044,0,public
C070045,1,public
C070046,0,public
C070047,0,private
C070048,1,private
C070049,1,private
C070050,1,public
C070051,1,public
C070052,1,private
C070053,0,public
C070054,0,private
C070055,0,public
C070056,1,private
C070057,1,private
C070058,0,private
C070059,1,private
C070060,0,private
C070061,0,private
C070062,1,private
C070063,0,private
C070064,1,public
C070065,0,private
C070066,0,private
C070067,0,public
C070068,1,private
C070069,0,public
C070070,0,private
C070071,0,private
C070072,0,private
C070073,1,private
C070074,0,private
C070075,0,public
C070076,0,private
C070077,0,public
C070078,0,public
C070079,0,private
C070080,0,private
C070081,0,public
C070082,0,private
C070083,0,private
C070084,0,private
C070085,1,public
C070086,1,public
C070087,1,public
C070088,0,private
C070089,1,private
C070090,1,public
C070091,0,private
C070092,1,private
C070093,0,private
C070094,1,public
C070095,0,private
C070096,0,private
C070097,1,private
C070098,0,private
C070099,0,private
C070100,1,public
C070101,1,private
C070102,0,private
C070103,1,private
C070104,0,private
C070105,1,private
C070106,0,private
C070107,0,private
C070108,0,private
C070109,0,private
C070110,0,private
C070111,0,private
C070112,0,private
C070113,0,private
C070114,0,private
C070115,0,private
C070116,0,public
C070117,1,private
C070118,1,public
C070119,0,private
C070120,1,private
C070121,0,private
C070122,1,private
C070123,1,public
C070124,1,private
C070125,0,private
C070126,0,private
C070127,1,public
C070128,1,private
C070129,0,private
C070130,1,private
C070131,0,public
C070132,0,private
C070133,0,private
C070134,0,private
C070135,1,private
C070136,0,private
C070137,1,private
C070138,0,public
C070139,1,public
C070140,1,public
C070141,0,private
C070142,1,public
C070143,0,public
C070144,0,public
C070145,1,private
C070146,1,public
C070147,1,private
C070148,1,private
C070149,0,private
C070150,0,private
C070151,1,private
C070152,1,public
C070153,1,private
C070154,0,public
C070155,1,private
C070156,1,private
C070157,0,private
C070158,0,private
C070159,1,private
C070160,0,public
C070161,0,public
C070162,0,public
C070163,0,private
C070164,1,private
C070165,0,private
C070166,0,private
C070167,0,private
C070168,1,public
C070169,0,private
C070170,0,private
C070171,0,private
C070172,0,private
C070173,0,private
C070174,0,public
C070175,1,public
C070176,1,private
C070177,1,private
C070178,0,private
C070179,0,private
C070180,1,public
C070181,0,public
C070182,1,public
C070183,0,public
C070184,0,private
C070185,0,private
C070186,1,public
C070187,0,public
C070188,0,public
C070189,1,private
C070190,0,private
C070191,0,private
C070192,1,public
C070193,0,public
C070194,1,public
C070195,0,private
C070196,0,private
C070197,1,public
C070198,1,public
C070199,1,public
C070200,0,public
C070201,0,public
C070202,1,private
C070203,0,public
C070204,1,public
C070205,0,public
C070206,0,private
C070207,0,private
C070208,0,public
C070209,1,private
C070210,0,private
C070211,0,private
C070212,1,private
C070213,0,private
C070214,0,public
C070215,0,public
C070216,0,private
C070217,0,private
C070218,1,private
C070219,0,public
C070220,0,public
C070221,1,public
C070222,1,private
C070223,0,private
C070224,0,private
C070225,0,public
C070226,1,public
C070227,0,private
C070228,0,private
C070229,1,private
C070230,0,private
C070231,0,private
C070232,1,public
C070233,1,public
C070234,0,private
C070235,0,private
C070236,1,private
C070237,0,public
C070238,0,private
C070239,1,private
C070240,0,private
C070241,0,private
C070242,0,public
C070243,1,private
C070244,1,private
C070245,1,private
C070246,1,private
C070247,0,private
C070248,0,private
C070249,0,public
C070250,0,private
C070251,1,public
C070252,0,public
C070253,0,private
C070254,1,private
C070255,0,private
C070256,0,private
C070257,1,private
C070258,1,private
C070259,1,private
C070260,0,private
C070261,1,private
C070262,1,private
C070263,1,public
C070264,0,private
C070265,1,private
C070266,0,public
C070267,1,private
C070268,1,private
C070269,0,private
C070270,0,private
C070271,1,private
C070272,0,private
C070273,1,private
C070274,0,private
C070275,0,public
C070276,1,private
C070277,1,public
C070278,0,private
C070279,1,public
C070280,1,private
C070281,0,private
C070282,1,public
C070283,1,private
C070284,1,private
C070285,1,private
C070286,1,public
C070287,0,private
C070288,1,private
C070289,1,private
C070290,1,public
C070291,0,public
C070292,0,private
C070293,1,private
C070294,1,private
C070295,1,private
C070296,1,private
C070297,1,private
C070298,0,private
C070299,1,private
C070300,0,public
C070301,0,private
C070302,0,private
C070303,0,private
C070304,0,private
C070305,0,public
C070306,0,private
C070307,0,private
C070308,0,private
C070309,0,private
C070310,1,private
C070311,1,private
C070312,1,private
C070313,1,public
C070314,0,private
C070315,1,public
C070316,1,public
C070317,0,private
C070318,0,public
C070319,0,private
C070320,1,private
C070321,0,private
C070322,1,private
C070323,0,public
C070324,0,public
C070325,1,private
C070326,1,private
C070327,0,private
C070328,0,private
C070329,1,private
C070330,0,private
C070331,0,private
C070332,1,private
C070333,0,private
C070334,1,private
C070335,0,private
C070336,1,private
C070337,1,public
C070338,1,private
C070339,1,public
C070340,1,public
C070341,0,public
C070342,0,private
C070343,1,private
C070344,0,private
C070345,0,private
C070346,1,private
C070347,1,private
C070348,1,public
C070349,1,private
C070350,0,private
C070351,0,public
C070352,1,public
C070353,0,private
C070354,0,private
C070355,0,private
C070356,0,private
C070357,1,private
C070358,0,private
C070359,0,private
C070360,0,private
C070361,0,public
C070362,1,private
C070363,1,public
C070364,1,private
C070365,1,private
C070366,0,private
C070367,0,public
C070368,0,private
C070369,0,private
C070370,0,private
C070371,0,private
C070372,0,private
C070373,0,public
C070374,1,private
C070375,1,public
C070376,1,private
C070377,0,public
C070378,1,private
C070379,1,private
C070380,1,public
C070381,0,private
C070382,0,private
C070383,1,private
C070384,1,private
C070385,0,private
C070386,0,public
C070387,1,private
C070388,0,private
C070389,1,private
C070390,0,private
C070391,0,private
C070392,0,private
C070393,1,public
C070394,1,private
C070395,1,private
C070396,0,public
C070397,0,private
C070398,0,private
C070399,0,private
C070400,0,private
C070401,1,private
C070402,1,private
C070403,0,private
C070404,1,private
C070405,1,private
C070406,0,public
C070407,0,public
C070408,1,public
C070409,0,private
C070410,0,private
C070411,0,private
C070412,1,private
C070413,1,public
C070414,1,private
C070415,1,private
C070416,0,private
C070417,1,public
C070418,0,private
C070419,0,private
C070420,0,public
C070421,0,public
C070422,1,private
C070423,0,private
C070424,1,private
C070425,1,public
C070426,0,public
C070427,0,public
C070428,1,private
C070429,0,public
C070430,1,private
C070431,1,private
C070432,0,private
C070433,1,public
C070434,0,public
C070435,1,private
C070436,0,private
C070437,1,public
C070438,0,private
C070439,0,private
C070440,0,private
C070441,1,private
C070442,0,private
C070443,1,private
C070444,0,private
C070445,0,public
C070446,1,public
C070447,0,public
C070448,1,private
C070449,0,private
C070450,1,private
C070451,1,public
C070452,0,private
C070453,1,private
C070454,1,private
C070455,1,private
C070456,0,public
C070457,1,private
C070458,0,private
C070459,1,private
C070460,1,private
C070461,1,private
C070462,0,private
C070463,1,private
C070464,1,public
C070465,1,private
C070466,1,public
C070467,0,private
C070468,1,private
C070469,0,public
C070470,0,private
C070471,1,private
C070472,1,public
C070473,0,private
C070474,0,public
C070475,0,private
C070476,0,private
C070477,1,private
C070478,1,private
C070479,0,private
C070480,0,public
C070481,0,public
C070482,0,private
C070483,0,private
C070484,0,public
C070485,0,public
C070486,0,public
C070487,0,private
C070488,0,private
C070489,1,private
C070490,0,private
C070491,0,private
C070492,1,private
C070493,0,private
C070494,0,private
C070495,1,private
C070496,0,private
C070497,0,private
C070498,0,public
C070499,0,private
C070500,0,private
C070501,1,private
C070502,0,private
C070503,1,private
C070504,0,private
C070505,0,private
C070506,0,public
C070507,0,private
C070508,0,public
C070509,1,private
C070510,0,private
C070511,1,private
C070512,0,private
C070513,1,public
C070514,1,public
C070515,0,private
C070516,0,private
C070517,0,public
C070518,1,private
C070519,1,private
C070520,0,private
C070521,0,private
C070522,0,private
C070523,1,private
C070524,1,public
C070525,1,public
C070526,0,private
C070527,0,private
C070528,0,private
C070529,0,private
C070530,0,private
C070531,1,private
C070532,0,public
C070533,0,public
C070534,1,private
C070535,1,private
C070536,1,private
C070537,0,private
C070538,1,private
C070539,0,private
C070540,0,private
